model_names,ratings,price,imgURL,storage_ram,os_processor,network,battery
"REDMI Note 11S (Polar White, 128 GB)",4.1,"₹15,995",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/c/d/-original-imagbwx4pxvedhdp.jpeg?q=70,Internal Storage128 GBRAM6 GBMemory Card Slot TypeHybrid Slot,Operating SystemAndroid Q 11Processor CoreOcta CorePrimary Clock Speed2 GHz,Network Type5GSupported Networks5G,Battery Capacity5000 mAh
"REDMI Note 10T 5G (Metallic Blue, 64 GB)",4.3,"₹15,900",https://rukminim2.flixcart.com/image/312/312/l0igvww0/mobile/y/j/4/-original-imagcaaw4d7bv7pj.jpeg?q=70,Internal Storage64 GBRAM4 GBMemory Card Slot TypeDedicated SlotCall Log MemoryYes,"Operating SystemAndroid 11Processor TypeMediatek Dimensity 700Processor CoreOcta CorePrimary Clock Speed2.2 GHzOperating Frequency5G SA: N1, N3, N40, N77, N78, 5G NSA: N78, 4G FDD-LTE: B1/B3/B5/B8, 4G TDD-LTE: B40/B41, 3G WCDMA: B1/B2/B5/B8, 2G GSM: B2/B3/B5/B8","Network Type5G, 4G, 3G, 2GSupported Networks5G, 4G LTE, WCDMA, GSMInternet Connectivity5G, 4G, 3G, Wi-FiBluetooth SupportYesBluetooth Versionv5.1Wi-FiYesWi-Fi Version802.11 a/b/g/n/ac (2.4 GHz | 5 GHz)NFCNoUSB ConnectivityYesAudio Jack3.5mmGPS SupportYes",Battery Capacity5000 mAh
"REDMI Note 11 (Horizon Blue, 64 GB)",4.2,"₹14,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/w/i/h/-original-imaggghwgnzxzzvm.jpeg?q=70,Internal Storage64 GBRAM6 GBMemory Card Slot TypeDedicated Slot,Operating SystemAndroid 11Processor CoreOcta CorePrimary Clock Speed2.4 GHz,"Network Type4G VOLTE, 4GSupported Networks4G VoLTE, 4G LTE",Battery Capacity5000 mAh
"REDMI 10 Prime (Bifrost Blue, 128 GB)",4.2,"₹14,900",https://rukminim2.flixcart.com/image/312/312/ktbu6q80/mobile/v/p/i/10-prime-10-redmi-original-imag6pb4qf7yxgrg.jpeg?q=70,Internal Storage128 GBRAM6 GBExpandable Storage512 GBSupported Memory Card TypemicroSDMemory Card Slot TypeDedicated SlotCall Log MemoryYes,Operating SystemAndroid Android 11Processor TypeHelio G88Processor CoreOcta CorePrimary Clock Speed2 GHzSecondary Clock Speed1.8 GHz,"Network Type4G VOLTE, 4GSupported Networks4G VoLTE, 4G LTEPre-installed BrowserGoogle ChromeBluetooth SupportYesBluetooth Version5.1Wi-FiYesWi-Fi VersionWi-Fi 802.11 a/b/g/n/ac, dual-bandWi-Fi HotspotYesUSB TetheringYesUSB ConnectivityYesMap SupportYesGPS SupportYes",Battery Capacity6000 mAhBattery TypeLi-Po
"REDMI 10A (Slate Grey, 32 GB)",4.1,"₹9,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/p/m/-original-imagdrgp8pkbzccw.jpeg?q=70,Internal Storage32 GBRAM3 GBMemory Card Slot TypeDedicated Slot,Operating SystemAndroidProcessor CoreOcta CorePrimary Clock Speed2.2 GHz,Network Type4GSupported Networks4G LTE,Battery Capacity5000 mAh
"REDMI K50i 5G (Quick Silver, 128 GB)",4.1,"₹24,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/d/e/-original-imagq35cjaxnyfdg.jpeg?q=70,Internal Storage128 GBRAM6 GBCall Log MemoryYes,"Operating SystemAndroid 12Processor TypeDimensity 8100Processor CoreOcta CorePrimary Clock Speed2.85 GHzSecondary Clock Speed2 GHzOperating Frequency2G GSM: B2/B3/B5/B8, 3G WCDMA: B1/B2/B4/B5/B8, 4G LTE TDD: B38/B40/B41, 4G LTE FDD: B1/B2/B3/B4/B5/B7/B8/B20/B28A, 5G NSA+SA: N1/N3/N5/N7/N8/N20/N28A/N38/N40/N41/N77/N78","Network Type5G, 4G VOLTE, 4G, 3G, 2GSupported Networks5G, 4G VoLTE, 4G LTE, WCDMA, GSMInternet Connectivity5G, 4G, 3G, Wi-Fi, EDGE, GPRS3GYesGPRSYesMicro USB PortYesMicro USB VersionUSB Type CBluetooth SupportYesBluetooth Versionv5.3Wi-Fi VersionSupports 2.4 GHz and 5 GHz Dual Band, Supports WiFi 6Wi-Fi HotspotYesMini HDMI PortNoNFCNoUSB TetheringYesInfraredYesUSB ConnectivityYesEDGEYesAudio Jack3.5mmMap SupportGoogle MapsGPS SupportYes",Battery Capacity5080 mAhBattery TypeLithium PolymerTalk Time30.5 Hours
"REDMI 10A SPORT (CHARCOAL BLACK, 128 GB)",4,"₹10,399",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/u/m/-original-imaggz3mbxhyesnc.jpeg?q=70,Internal Storage128 GBRAM6 GBMemory Card Slot TypeDedicated Slot,Operating SystemAndroid 12Processor CoreOcta CorePrimary Clock Speed2 GHz,Network Type4G VOLTESupported Networks4G VoLTE,Battery Capacity5000 mAh
"REDMI Note 11T 5G (Stardust White, 128 GB)",4.2,"₹19,990",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/v/v/-original-imag9g37hzxggjgg.jpeg?q=70,Internal Storage128 GBRAM6 GBMemory Card Slot TypeHybrid Slot,Operating SystemAndroid Q 11Processor CoreOcta CorePrimary Clock Speed2.4 GHz,"Network Type5G, 4G, 3G, 2GSupported Networks5G",Battery Capacity5000 mAh
"REDMI Note 11T 5G (Stardust White, 128 GB)",4.2,"₹18,298",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/v/v/-original-imag9g37hzxggjgg.jpeg?q=70,Internal Storage128 GBRAM6 GBMemory Card Slot TypeHybrid Slot,Operating SystemAndroid Q 11Processor CoreOcta CorePrimary Clock Speed2.4 GHz,"Network Type5G, 4G, 3G, 2GSupported Networks5G",Battery Capacity5000 mAh
"REDMI Note 10S (Frost White, 64 GB)",4.4,"₹16,999",https://rukminim2.flixcart.com/image/312/312/kyeqjrk0/mobile/z/i/b/-original-imagan9qprtsdkab.jpeg?q=70,Internal Storage64 GBRAM6 GBExpandable Storage512 GBSupported Memory Card TypeMicroSDMemory Card Slot TypeDedicated SlotCall Log MemoryYes,"Operating SystemAndroid 11Processor TypeMediatek Helio G95Processor CoreOcta CorePrimary Clock Speed2.05 GHzSecondary Clock Speed2 GHzOperating Frequency2G GSM: B2,B3,B5,B8, 3G WCDMA: B1,B5,B8, 4G LTE FDD: B1,B3,B5,B8, 4G LTE TDD: B40,B41","Network Type4G VOLTE, 4G, 3G, 2GSupported Networks4G VoLTE, 4G LTE, WCDMA, GSMInternet Connectivity4G, 3G, Wi-Fi, EDGE, GPRSGPRSYesPre-installed BrowserGoogle ChromeBluetooth SupportYesBluetooth VersionV5.0Wi-FiYesWi-Fi Version802.11 a/b/g/n/ac/ax (2.4 GHz | 5.0 GHz)Wi-Fi HotspotYesNFCNoUSB TetheringYesUSB ConnectivityYesAudio Jack3.5mmMap SupportGoogle MapsGPS SupportYes",Battery Capacity5000 mAh
