,index,model_names,ratings,price,imgURL,battery,storage,ram,processor,android_version
261,261,"REDMI 10 (Pacific Blue, 64 GB)",4.3,9999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/q/e/-original-imagk4nz6xgtexam.jpeg?q=70,6000,64,4,Snapdragon680P,11
262,262,"REDMI Note 11 (Starburst White, 64 GB)",4.2,13285,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/e/y/-original-imagbgaqje2mygjm.jpeg?q=70,5000,64,4,not mentioned,11
263,263,"REDMI Note 9 (Shadow Black, 128 GB)",4.3,14999,https://rukminim2.flixcart.com/image/312/312/kiew3gw0/mobile/u/n/j/redmi-note-9-m2003j15si-mi-original-imafy7hyvgz42rsy.jpeg?q=70,5020,128,6,Heilo85P,10
264,264,"REDMI Note 10S (Cosmic Purple, 64 GB)",4.4,16999,https://rukminim2.flixcart.com/image/312/312/kyeqjrk0/mobile/u/0/8/-original-imagan9qhw9nyhce.jpeg?q=70,5000,64,6,Heilo95P,11
265,265,"REDMI Note 11 (Space Black, 64 GB)",4.2,12990,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/u/k/-original-imagbh8dmpjfzrjw.jpeg?q=70,5000,64,4,not mentioned,11
266,266,"REDMI 9 Activ (Metallic Purple, 128 GB)",4.2,11976,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/d/y/-original-imaghkmkwhphgnnk.jpeg?q=70,5000,128,6,Heilo35P,11
267,267,"REDMI Note 11 (Space Black, 64 GB)",4.2,12995,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/u/k/-original-imagbh8dmpjfzrjw.jpeg?q=70,5000,64,6,not mentioned,11
268,268,"REDMI Note 9 (Scarlet Red, 128 GB)",4.3,14999,https://rukminim2.flixcart.com/image/312/312/kdqa4y80/mobile/a/e/r/mi-redmi-note-9-m2003j15si-original-imafukarcpe9ayme.jpeg?q=70,5020,128,6,Heilo85P,10
269,269,"REDMI 10A (Sea Blue, 32 GB)",4.1,8195,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/7/a/-original-imagdrghghkneesf.jpeg?q=70,5000,32,3,not mentioned,nan
270,270,"REDMI 10 (Midnight Black, 128 GB)",4.2,10999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/9/q/j/-original-imagk4nzwhudqhcz.jpeg?q=70,6000,128,6,Snapdragon680P,11
271,271,"REDMI Note 11S (Horizon Blue, 128 GB)",4.1,15680,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/e/8/-original-imagbwx4mqamdbzj.jpeg?q=70,5000,128,6,not mentioned,11
272,272,"REDMI NOTE 10 LITE (Aurora Blue, 128 GB)",4.3,14985,https://rukminim2.flixcart.com/image/312/312/kv1a4cw0/mobile/3/r/p/note-10-lite-2109106a1i-redmi-original-imag8yvazxeycrjd.jpeg?q=70,5020,128,6,not mentioned,11
273,273,"REDMI Note 10T 5G (Mint Green, 128 GB)",4.2,16999,https://rukminim2.flixcart.com/image/312/312/l0igvww0/mobile/9/a/w/-original-imagcaaw5gzbdtxj.jpeg?q=70,5000,128,6,Dimensity700P,11
274,274,"REDMI Note 10T 5G (Chromium White, 128 GB)",4.2,16999,https://rukminim2.flixcart.com/image/312/312/l0igvww0/mobile/o/q/q/-original-imagcaaw5zg6amp5.jpeg?q=70,5000,128,6,Dimensity700P,11
275,275,"REDMI Note 11 (Space Black, 128 GB)",4.2,16299,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/u/k/-original-imagbh8dmpjfzrjw.jpeg?q=70,5000,128,6,not mentioned,nan
276,277,"REDMI Note 11S (Polar White, 128 GB)",4.1,15995,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/c/d/-original-imagbwx4pxvedhdp.jpeg?q=70,5000,128,6,not mentioned,11
277,278,"REDMI Note 10T 5G (Metallic Blue, 64 GB)",4.3,15900,https://rukminim2.flixcart.com/image/312/312/l0igvww0/mobile/y/j/4/-original-imagcaaw4d7bv7pj.jpeg?q=70,5000,64,4,Dimensity700P,11
278,279,"REDMI Note 11 (Horizon Blue, 64 GB)",4.2,14999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/w/i/h/-original-imaggghwgnzxzzvm.jpeg?q=70,5000,64,6,not mentioned,11
279,280,"REDMI 10 Prime (Bifrost Blue, 128 GB)",4.2,14900,https://rukminim2.flixcart.com/image/312/312/ktbu6q80/mobile/v/p/i/10-prime-10-redmi-original-imag6pb4qf7yxgrg.jpeg?q=70,6000,128,6,Heilo88P,11
280,281,"REDMI 10A (Slate Grey, 32 GB)",4.1,9999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/p/m/-original-imagdrgp8pkbzccw.jpeg?q=70,5000,32,3,not mentioned,nan
281,282,"REDMI K50i 5G (Quick Silver, 128 GB)",4.1,24999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/d/e/-original-imagq35cjaxnyfdg.jpeg?q=70,5080,128,6,Dimensity8100P,12
282,283,"REDMI 10A SPORT (CHARCOAL BLACK, 128 GB)",4.0,10399,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/u/m/-original-imaggz3mbxhyesnc.jpeg?q=70,5000,128,6,not mentioned,12
283,284,"REDMI Note 11T 5G (Stardust White, 128 GB)",4.2,19990,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/v/v/-original-imag9g37hzxggjgg.jpeg?q=70,5000,128,6,not mentioned,11
284,285,"REDMI Note 11T 5G (Stardust White, 128 GB)",4.2,18298,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/v/v/-original-imag9g37hzxggjgg.jpeg?q=70,5000,128,6,not mentioned,11
285,286,"REDMI Note 10S (Frost White, 64 GB)",4.4,16999,https://rukminim2.flixcart.com/image/312/312/kyeqjrk0/mobile/z/i/b/-original-imagan9qprtsdkab.jpeg?q=70,5000,64,6,Heilo95P,11
286,287,"REDMI 10A SPORT (SLATE GREY, 128 GB)",4.0,10999,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/5/j/-original-imaggz2sq4b8hv4q.jpeg?q=70,5000,128,6,not mentioned,12
287,288,"REDMI 9 Prime (Mint Green, 64 GB)",4.4,11990,https://rukminim2.flixcart.com/image/312/312/ke0a7ww0/mobile/4/r/e/mi-redmi-9-prime-m2004j191-original-imafushhfhy3tbp9.jpeg?q=70,5020,64,4,Heilo80P,10
288,289,"REDMI Note 11T 5G (Matte black, 128 GB)",4.2,19870,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/k/o/-original-imag9g3hxujubg8g.jpeg?q=70,5000,128,8,not mentioned,11
289,290,"REDMI Note 11T 5G (Aquamarine Blue, 128 GB)",4.2,18499,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/d/d/-original-imag9g3wygd8829v.jpeg?q=70,5000,128,6,not mentioned,11
290,291,"REDMI 10A (Slate grey, 64 GB)",4.2,8599,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/p/m/-original-imagdrgp8pkbzccw.jpeg?q=70,5000,64,4,not mentioned,12
291,292,"REDMI Note 10T 5G (Graphite Black, 64 GB)",4.3,14990,https://rukminim2.flixcart.com/image/312/312/l0igvww0/mobile/9/c/x/-original-imagcaawbw9ev8zf.jpeg?q=70,5000,64,4,Dimensity700P,11
292,293,"REDMI 10A (Slate Grey, 32 GB)",4.1,7489,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/p/m/-original-imagdrgp8pkbzccw.jpeg?q=70,5000,32,3,not mentioned,nan
293,294,"REDMI 9i Sport (Coral Green, 64 GB)",4.3,7399,https://rukminim2.flixcart.com/image/312/312/ku04o7k0/mobile/m/w/p/9i-sport-mzb0a0yin-redmi-original-imag785ryfspqg3a.jpeg?q=70,5000,64,4,Heilo25P,10
294,295,"REDMI Note 9 (Shadow Black, 64 GB)",4.3,11999,https://rukminim2.flixcart.com/image/312/312/khglj0w0/mobile/m/t/7/redmi-note-9-m2003j15si-mi-original-imafxgzhx4prwpgq.jpeg?q=70,5020,64,4,Heilo85P,10
295,296,"REDMI 9 Prime (Mint Green, 64 GB)",4.4,10499,https://rukminim2.flixcart.com/image/312/312/ke0a7ww0/mobile/4/r/e/mi-redmi-9-prime-m2004j191-original-imafushhfhy3tbp9.jpeg?q=70,5020,64,4,Heilo80P,10
